@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,5,1,10,9,0.474,0,T1,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T1,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T1,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T1,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T1,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T3,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T3,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T3,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T3,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T3,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T3,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T7,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T7,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T10,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,1,5,1,10,9,0.474,0,T12,V,48,78,31,no
1,0,4,14,3,10,9,0.474,0,T3,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T3,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T6,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T6,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T6,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T6,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T7,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T8,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T8,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T8,method,45,60,31,no
1,0,4,14,3,10,9,0.474,0,T8,method,46,74,31,no
1,0,4,14,3,10,9,0.474,0,T9,method,46,74,31,no
1,0,4,23,5,10,9,0.474,0,T1,V,42,47,31,no
1,0,4,23,5,10,9,0.474,0,T5,V,46,74,31,no
1,0,4,23,5,10,9,0.474,0,T5,V,46,74,31,no
1,0,4,23,5,10,9,0.474,0,T6,V,47,76,31,no
1,0,4,23,5,10,9,0.474,0,T6,V,46,74,31,no
1,0,4,23,5,10,9,0.474,0,T6,V,46,74,31,no
1,0,4,23,5,10,9,0.474,0,T6,V,42,47,31,no
1,0,4,23,5,10,9,0.474,0,T7,V,47,76,31,no
1,0,4,23,5,10,9,0.474,0,T7,V,47,76,31,no
1,0,4,23,5,10,9,0.474,0,T7,V,46,74,31,no
